Rank	Player	Country	Min rating	Med rating	Max rating
641	undefined	Japan	0.86	1.08	1.37
642	さばのにそみ	Japan	0.86	0.94	1.03
643	yukiiii	Japan	0.86	1.32	2.05
644	ろず	Japan	0.85	1.13	1.49
645	涼凪	Japan	0.85	0.92	0.99
646	でんちゅー	Japan	0.85	0.93	1.02
647	kana	Japan	0.85	0.94	1.03
648	がたー	Japan	0.85	1.32	2.06
649	かんきつ	Japan	0.85	1.42	2.39
650	ユーム	Japan	0.85	1.31	2.02
651	SSENRED231	Korea	0.85	0.99	1.16
652	もるつ	Japan	0.85	1.46	2.53
653	ルイン	Japan	0.84	0.99	1.15
654	てりやき	Japan	0.84	1.07	1.35
655	han	Japan	0.84	1.00	1.20
656	タンヤオ	Japan	0.84	0.87	0.91
657	peacee	Japan	0.84	1.04	1.30
658	amo	Japan	0.84	0.91	0.99
659	たろう	Japan	0.84	1.21	1.74
660	くろ	Japan	0.84	1.34	2.14
661	TAXMAN(LILY)	Japan	0.83	1.00	1.20
662	ポケベル	Japan	0.83	0.93	1.04
663	スカイ	Japan	0.83	0.90	0.96
664	ihen	Taiwan	0.83	0.94	1.06
665	真冬	Japan	0.83	0.94	1.08
666	ラーサー	Japan	0.83	1.23	1.83
667	のなほさん	Japan	0.83	0.90	0.98
668	おすすめ	Japan	0.82	1.27	1.96
669	あーりん	Japan	0.82	1.04	1.31
670	なっく	Japan	0.82	1.03	1.29
671	ミカエル	Japan	0.82	0.93	1.06
672	ガウト	Japan	0.82	0.92	1.04
673	コイル	Japan	0.82	1.26	1.95
674	BBR	France	0.82	0.86	0.91
675	じゅん	Japan	0.81	1.27	1.97
676	られい	Japan	0.81	0.98	1.18
677	T-ぶるぅ	Japan	0.81	0.85	0.88
678	サラ	Japan	0.81	1.19	1.74
679	ヒンメル	Japan	0.80	0.95	1.12
680	StarAsh	Mauritius	0.80	0.86	0.92
681	machi7	Japan	0.80	1.59	3.13
682	ここね	Japan	0.80	1.23	1.88
683	ぺぺヤマ(pepeyama)	Japan	0.80	0.88	0.97
684	Chcoru	Japan	0.80	0.84	0.89
685	れっくす	Japan	0.80	0.82	0.83
686	Coconutbowling	USA	0.80	0.92	1.06
687	ありこ	Japan	0.80	0.87	0.95
688	たかせ	Japan	0.79	0.83	0.87
689	Toby	Japan	0.79	1.27	2.05
690	やんきょう	Japan	0.78	1.21	1.85
691	mouti	Mauritius	0.78	0.81	0.85
692	ふぁっそ	Japan	0.78	0.81	0.83
693	羅斯	Switzerland	0.78	1.12	1.62
694	VoidPH	Brasil	0.78	0.94	1.13
695	サマフ	Japan	0.78	0.93	1.11
696	ハンサムタラコ	Japan	0.78	0.79	0.79
